Time resolution is 1 ps
[RAND DATA] a = 3409799080, b = 3242061410, max = 4294967295
[RAND DATA] a = 1037303635, b = 4056594817, max = 4294967295
[RAND DATA] a = 200792494, b = 2299619067, max = 4294967295
[RAND DATA] a = 3837096602, b = 4208730236, max = 4294967295
[RAND DATA] a = 2262039082, b = 3679820963, max = 4294967295
[RAND DATA] a = 3951652036, b = 322155791, max = 4294967295
[RAND DATA] a = 3336505704, b = 2296761549, max = 4294967295
[RAND DATA] a = 2276019079, b = 3658661495, max = 4294967295
[RAND DATA] a = 21555902, b = 3807939396, max = 4294967295
[RAND DATA] a = 29131807, b = 3936474828, max = 4294967295
[100 DATA] a = 3958030730, b = 3988359748, max = 4294967295
[100 DATA] a = 546675154, b = 3987162537, max = 4294967295
[100 DATA] a = 2911135702, b = 3680554989, max = 4294967295
[100 DATA] a = 2641084703, b = 4227230143, max = 4294967295
[100 DATA] a = 695914902, b = 4160024884, max = 4294967295
[100 DATA] a = 3194544851, b = 3336999605, max = 4294967295
[100 DATA] a = 4068743707, b = 1054573546, max = 4294967295
[100 DATA] a = 33562961, b = 4249118397, max = 4294967295
[100 DATA] a = 4022894809, b = 225612358, max = 4294967295
[100 DATA] a = 4056457770, b = 3261060305, max = 4294967295
[100 DATA] a = 4282070128, b = 3191056913, max = 4294967295
[100 DATA] a = 4175627068, b = 3248163137, max = 4294967295
[100 DATA] a = 819381028, b = 4291736402, max = 4294967295
[100 DATA] a = 3633513445, b = 4172396174, max = 4294967295
[100 DATA] a = 2844293554, b = 4061652688, max = 4294967295
[100 DATA] a = 2182839703, b = 181927467, max = 4294967295
[100 DATA] a = 3845332679, b = 4097008743, max = 4294967295
